Equipo,MetaEquipo,Tabla,Link
Celta Vigo,Celta-Vigo,scores_and_fixtures,https://fbref.com/en/squads/f25da7fb/2021-2022/Celta-Vigo-Stats#all_matchlogs
Getafe,Getafe,scores_and_fixtures,https://fbref.com/en/squads/7848bd64/2021-2022/Getafe-Stats#all_matchlogs
Girona,Girona,scores_and_fixtures,https://fbref.com/en/squads/9024a00a/2021-2022/Girona-Stats#all_matchlogs
Granada,Granada,scores_and_fixtures,https://fbref.com/en/squads/a0435291/2021-2022/Granada-Stats#all_matchlogs
Las Palmas,Las_Palmas,scores_and_fixtures,https://fbref.com/en/squads/0049d422/2021-2022/Las-Palmas-Stats#all_matchlogs
Mallorca,Mallorca,scores_and_fixtures,https://fbref.com/en/squads/2aa12281/2021-2022/Mallorca-Stats#all_matchlogs
Osasuna,Osasuna,scores_and_fixtures,https://fbref.com/en/squads/03c57e2b/2021-2022/Osasuna-Stats#all_matchlogs
Rayo Vallecano,Rayo_Vallecano,scores_and_fixtures,https://fbref.com/en/squads/98e8af82/2021-2022/Rayo-Vallecano-Stats#all_matchlogs
Real Madrid,Real_Madrid,scores_and_fixtures,https://fbref.com/en/squads/53a2f082/2021-2022/Real-Madrid-Stats#all_matchlogs
Real Sociedad,Real_Sociedad,scores_and_fixtures,https://fbref.com/en/squads/e31d1cd9/2021-2022/Real-Sociedad-Stats#all_matchlogs
Sevilla,Sevilla,scores_and_fixtures,https://fbref.com/en/squads/ad2be733/2021-2022/Sevilla-Stats#all_matchlogs
Valencia,Valencia,scores_and_fixtures,https://fbref.com/en/squads/dcc91a7b/2021-2022/Valencia-Stats#all_matchlogs
Villarreal,Villarreal,scores_and_fixtures,https://fbref.com/en/squads/2a8183b3/2021-2022/Villarreal-Stats#all_matchlogs
Barcelona,Barcelona,scores_and_fixtures,https://fbref.com/en/squads/206d90db/2020-2021/Barcelona-Stats#all_matchlogs
Alavés,Alaves,scores_and_fixtures,https://fbref.com/en/squads/8d6fd021/2020-2021/Alaves-Stats#all_matchlogs
Almería,Almeria,scores_and_fixtures,https://fbref.com/en/squads/78ecf4bb/2020-2021/Almeria-Stats#all_matchlogs
Athletic Club,Athletic_Club,scores_and_fixtures,https://fbref.com/en/squads/2b390eca/2020-2021/Athletic-Club-Stats#all_matchlogs
Atlético Madrid,Atletico_Madrid,scores_and_fixtures,https://fbref.com/en/squads/db3b9613/2020-2021/Atletico-Madrid-Stats#all_matchlogs
Real Betis,Real_Betis,scores_and_fixtures,https://fbref.com/en/squads/fc536746/2020-2021/Real-Betis-Stats#all_matchlogs
Cádiz,Cadiz,scores_and_fixtures,https://fbref.com/en/squads/ee7c297c/2020-2021/Cadiz-Stats#all_matchlogs
Celta Vigo,Celta-Vigo,scores_and_fixtures,https://fbref.com/en/squads/f25da7fb/2020-2021/Celta-Vigo-Stats#all_matchlogs
Getafe,Getafe,scores_and_fixtures,https://fbref.com/en/squads/7848bd64/2020-2021/Getafe-Stats#all_matchlogs
Girona,Girona,scores_and_fixtures,https://fbref.com/en/squads/9024a00a/2020-2021/Girona-Stats#all_matchlogs
Granada,Granada,scores_and_fixtures,https://fbref.com/en/squads/a0435291/2020-2021/Granada-Stats#all_matchlogs
Las Palmas,Las_Palmas,scores_and_fixtures,https://fbref.com/en/squads/0049d422/2020-2021/Las-Palmas-Stats#all_matchlogs
Mallorca,Mallorca,scores_and_fixtures,https://fbref.com/en/squads/2aa12281/2020-2021/Mallorca-Stats#all_matchlogs
